"year","temp_path","scc"
"2020",1.246491628,100.594843730642
"2021",1.274213299,102.672531983231
"2022",1.301313277,104.773416989093
"2023",1.327778827,106.89763719225
"2024",1.353597216,109.045347031241
"2025",1.378755707,111.216718505924
"2026",1.403241566,113.411942836281
"2027",1.427042058,115.631232223682
"2028",1.450144447,117.874821707951
"2029",1.472536,120.142971134281
"2030",1.494203981,122.435967231548
"2031",1.515135654,124.754125803247
"2032",1.535318286,127.097794045543
"2033",1.554739141,129.467352989731
"2034",1.573385484,131.863220074401
"2035",1.591244581,134.285851862033
"2036",1.608303695,136.735746896523
"2037",1.624550093,139.213448711703
"2038",1.63997104,141.719549001806
"2039",1.6545538,144.254690949228
"2040",1.668293476,146.819572730249
"2041",1.681216522,149.414951199047
"2042",1.693357228,152.041636718582
"2043",1.704749885,154.700459570645
"2044",1.715428785,157.392260315689
"2045",1.725428218,160.11788851632
"2046",1.734782475,162.878201341409
"2047",1.743525847,165.674062047925
"2048",1.751692625,168.506338326406
"2049",1.7593171,171.375900507528
"2050",1.766432025,174.283619621067
"2051",1.773063999,177.230365299358
"2052",1.779238085,180.217005616088
"2053",1.784979344,183.24441340212
"2054",1.790312839,186.313466859816
"2055",1.79526363,189.42504809807
"2056",1.79985678,192.580041540414
"2057",1.80411735,195.77933221234
"2058",1.808070403,199.023803885408
"2059",1.811741,202.314337086851
"2060",1.815150992,205.651806954215
"2061",1.818309388,209.037080939281
"2062",1.821221987,212.471021529799
"2063",1.823894587,215.954505220845
"2064",1.826332985,219.488427677732
"2065",1.828542981,223.073704030811
"2066",1.830530372,226.711269165306
"2067",1.832300956,230.402077998466
"2068",1.833860533,234.147105760254
"2069",1.8352149,237.947348259967
"2070",1.836365859,241.803822142595
"2071",1.837299226,245.717565145058
"2072",1.837996821,249.689643975772
"2073",1.838440463,253.721186381687
"2074",1.838611971,257.813393126234
"2075",1.838493166,261.967543062007
"2076",1.838065867,266.184998474938
"2077",1.837311893,270.4672107099
"2078",1.836213064,274.815726102659
"2079",1.8347512,279.232192219633
"2080",1.832915595,283.718364420925
"2081",1.830725446,288.276112765137
"2082",1.828207423,292.907412354723
"2083",1.825388198,297.614280477482
"2084",1.822294443,302.398758590047
"2085",1.818952828,307.262909959806
"2086",1.815390025,312.20881709508
"2087",1.811632705,317.238578952376
"2088",1.80770754,322.354307894098
"2089",1.8036412,327.558126400421
"2090",1.799460357,332.852163510003
"2091",1.795191683,338.238550988076
"2092",1.790861848,343.719419189655
"2093",1.786497524,349.296892617632
"2094",1.782125382,354.973085160646
"2095",1.777772094,360.750094978024
"2096",1.77346433,366.629999033215
"2097",1.769228762,372.614847244321
