"year","var","val","n_sim","started"
2000,"project",-450177.470605388,2,FALSE
2000,"counterfactual",-272397.647992596,2,FALSE
2000,"additionality",-177779.822612792,2,FALSE
2001,"project",-208291.06848906,2,FALSE
2001,"counterfactual",-286341.517648667,2,FALSE
2001,"additionality",78050.4491596073,2,FALSE
2002,"project",-130096.123270899,2,FALSE
2002,"counterfactual",-114346.052882165,2,FALSE
2002,"additionality",-15750.0703887343,2,FALSE
2003,"project",-273436.213413894,2,FALSE
2003,"counterfactual",-209713.451566055,2,FALSE
2003,"additionality",-63722.7618478388,2,FALSE
2004,"project",-162549.034934714,2,FALSE
2004,"counterfactual",-221860.151493058,2,FALSE
2004,"additionality",59311.1165583432,2,FALSE
2005,"project",-142387.319256544,2,FALSE
2005,"counterfactual",-329902.563818321,2,FALSE
2005,"additionality",187515.244561777,2,FALSE
2006,"project",-290992.484535232,2,FALSE
2006,"counterfactual",-246997.950189739,2,FALSE
2006,"additionality",-43994.5343454927,2,FALSE
2007,"project",-430620.832172647,2,FALSE
2007,"counterfactual",-269169.064182997,2,FALSE
2007,"additionality",-161451.76798965,2,FALSE
2008,"project",-177635.326554164,2,TRUE
2008,"counterfactual",-136255.267769188,2,TRUE
2008,"additionality",-41380.0587849766,2,TRUE
2009,"project",-190974.118964806,2,TRUE
2009,"counterfactual",-305839.454557613,2,TRUE
2009,"additionality",114865.335592806,2,TRUE
2010,"project",-90282.9436214566,2,TRUE
2010,"counterfactual",-295115.137707487,2,TRUE
2010,"additionality",204832.19408603,2,TRUE
2011,"project",-181058.076942548,2,TRUE
2011,"counterfactual",-117890.721820027,2,TRUE
2011,"additionality",-63167.3551225215,2,TRUE
2012,"project",-346248.680448785,2,TRUE
2012,"counterfactual",-243444.250248224,2,TRUE
2012,"additionality",-102804.430200562,2,TRUE
2013,"project",-427586.414941788,2,TRUE
2013,"counterfactual",-349919.783437878,2,TRUE
2013,"additionality",-77666.6315039098,2,TRUE
2014,"project",-64652.9552251846,2,TRUE
2014,"counterfactual",-407799.485915646,2,TRUE
2014,"additionality",343146.530690461,2,TRUE
2015,"project",-185180.730114833,2,TRUE
2015,"counterfactual",-164960.312912837,2,TRUE
2015,"additionality",-20220.4172019958,2,TRUE
2016,"project",-177423.097968087,2,TRUE
2016,"counterfactual",-261519.804080218,2,TRUE
2016,"additionality",84096.7061121315,2,TRUE
2017,"project",-190328.402202889,2,TRUE
2017,"counterfactual",-139682.533659413,2,TRUE
2017,"additionality",-50645.8685434759,2,TRUE
2018,"project",-88684.4559730738,2,TRUE
2018,"counterfactual",-148284.564648628,2,TRUE
2018,"additionality",59600.1086755544,2,TRUE
2019,"project",-52303.0577156544,2,TRUE
2019,"counterfactual",-203021.477851585,2,TRUE
2019,"additionality",150718.42013593,2,TRUE
2020,"project",-163212.813703984,2,TRUE
2020,"counterfactual",-266843.580739707,2,TRUE
2020,"additionality",103630.767035723,2,TRUE
2021,"project",-159984.229894385,2,TRUE
2021,"counterfactual",-291791.728359416,2,TRUE
2021,"additionality",131807.498465031,2,TRUE
1991,"project",-54660.1496717781,3,FALSE
1991,"counterfactual",-60733.4996353239,3,FALSE
1991,"additionality",6073.3499635458,3,FALSE
1992,"project",-54660.1496717781,3,FALSE
1992,"counterfactual",-36440.0997811705,3,FALSE
